M-3500;Date;;20160527_week1;;;;;;;;;;;;;;;;20160602_week2;;;;;;;;;;;;;;;;20160609_week3;;;;;;;;;;;;;;;;20160616_week4;;;;;;;;;;;;;;;;20160623_week5;;;;;;;;;;;;;;;;20160702_week6;;;;;;;;;;;;;;;;20160708_week7;;;;;;;;;;;;;;;;20160715_week8;;;;;;;;;;;;;;;;20160722_week9;;;;;;;;;;;;;;;;20160729_week10;;;;;;;;;;;;;;;;20160805_week11;;;;;;;;;;;;;;;;20160812_week12;;;;;;;;;;;;;;;;20160818_week13;;;;;;;;;;;;;;;;20160826_week14;;;;;;;;;;;;;;;;20160905_week15;;;;;;;;;;;;;;;;20160910_week16;;;;;;;;;;;;;;;;20160916_week17;;;;;;;;;;;;;;;;20160924_week18;;;;;;;;;;;;;;;;20161001_week19;;;;;;;;;;;;;;;
;Weather;;SUNNY;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;;RAIN;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;;FOG_RAIN;;;;;;;;;;;;;;;;CLOUDY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WINDY;;;;;;;;;;;;;;;;FOG_RAIN;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;;SUNNY_CLOUDY;;;;;;;;;;;;;;;;CLOUDY;;;;;;;;;;;;;;;;CLOUDY;;;;;;;;;;;;;;;;CLOUDY;;;;;;;;;;;;;;;;FOG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FOG_RAIN;;;;;;;;;;;;;;;;FOG;;;;;;;;;;;;;;;;SUNNY;;;;;;;;;;;;;;;
;Name;;LI_XIAO;;;;;;;;;;;;;;;;XIAO_HE;;;;;;;;;;;;;;;;XIAO_HE;;;;;;;;;;;;;;;;XIAO_HE;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI_PING;;;;;;;;;;;;;;;;LI_HU;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI-HE;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI_HE;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;;LI;;;;;;;;;;;;;;;
;Species;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;;A;;;;B;;;;C;;;;D;;;
;* Ped.sim *;_____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Poa.pra *;_____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;3;;;;;;;;1;;;;;;;;3;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;5;;;;5;;;;;;;;;;;;5;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Pol.cya *;___;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Pol.viv *;____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;1;;;;1;;;;1;;;;;;;;;1;;;;1;;;;;1;;;;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Pot.leu *;_____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;2;;;;;;;;;;;;;;;21;1;12;;;;;;;;;;;;;;34;10;24;;;;;;;;;;;;;;18;15;56;;;;;;;;;;;;;;5;3;70;;;;;;;;;;;;;;1;2;75;;;;;;;;;;;;;;5;1;13;1;;;;;;;;;;;;;1;;24;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Ran.tan *;____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Ver.sze *;_____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Vio.bif *;_____;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gal.hof;___;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hem.het;____;5;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
